Type Animal FOV Scan_type Valid BPM Diameter Max_flow Speed_change Area_change Compliance
CAT E9 1 ThreeD_rfa 0 505 113 14.0722 0 0 0 
CAT E9 2 ThreeD_rfa 0 505 97 14.2621 0 0 0 
CAT E9 2 X 0 518 81.4552 14.2621 0.0694294 0.0448268 3.54901 
CAT E9 2 Y 0 507 0 14.2621 0 0 0 
CAT E9 3 ThreeD_rfa 0 495 61 3.48792 0 0 0 
CAT E9 3 X 0 497 46.3635 3.48792 0.112337 0.0141874 0.0421995 
CAT E9 3 Y 0 499 0 3.48792 0 0 0 
CAT E9 4 ThreeD_rfa 0 507 108 6.12298 0 0 0 
CAT E9 4 Y 0 506 0 6.12298 0 0 0 
CAT E9 5 ThreeD_rfa 0 489 51 2.98911 0 0 0 
CAT E9 5 X 0 496 60.3235 2.98911 0.153767 0.0279358 0.35227 
CAT E9 5 Y 0 503 55.1184 2.98911 0.132984 0.0364232 0.357394 
CAT E10 1 ThreeD_rfa 0 459 64 5.4608 0 0 0 
CAT E10 1 X 0 457 66.108 5.4608 0.100605 0.0107631 0.174286 
CAT E10 1 Y 0 457 65.1821 5.4608 0.0562765 0.0213275 0.826336 
CAT E10 2 ThreeD_rfa 0 444 108 15.728 0 0 0 
CAT E10 2 X 0 454 90.5433 15.728 0.0745885 0.0170139 0.944225 
CAT E10 2 Y 0 449 98.9933 15.728 0.144845 0.0308141 1.47783 
CAT E10 3 ThreeD_rfa 0 450 120 18.6351 0 0 0 
CAT E10 3 X 0 450 99.9147 18.6351 0.119425 0.0234289 1.18104 
CAT E10 3 Y 0 451 0 18.6351 0 0 0 
CAT E10 5 ThreeD_rfa 0 446 141 25.8257 0 0 0 
CAT E10 5 X 0 453 0 25.8257 0 0 0 
CAT E10 5 Y 0 449 0 25.8257 0 0 0 
CAT E10 6 ThreeD_rfa 0 458 87 5.47061 0 0 0 
CAT E10 6 X 0 453 0 5.47061 0 0 0 
CAT E10 6 Y 0 458 0 5.47061 0 0 0 
CAT E12 1 ThreeD_rfa 0 347 112 7.54881 0 0 0 
CAT E12 1 X 0 380 0 7.54881 0 0 0 
CAT E12 1 Y 0 372 107.951 7.54881 0.078834 0.0145 4.20737 
CAT E12 2 ThreeD_rfa 0 363 84 6.45512 0 0 0 
CAT E12 2 X 0 385 68.9403 6.45512 0.0892018 0.0674809 5.15606 
CAT E12 2 Y 0 363 54.7849 6.45512 0.14157 0.0704809 0.433741 
CAT E12 3 ThreeD_rfa 0 369 0 0 0 0 0 
CAT E12 3 X 0 380 41.3837 0 0.336429 0.0538172 0 
CAT E12 3 Y 0 383 30.5235 0 0.339721 0.061362 0 
CAT E12 4 ThreeD_rfa 0 426 65 4.7099 0 0 0 
CAT E12 4 X 0 355 42.0628 4.7099 0.242872 0.0748991 0.0582457 
CAT E12 4 Y 0 407 74.4088 4.7099 0.14104 0.0148342 0.396775 
CAT E12 5 ThreeD_rfa 0 338 45 2.76005 0 0 0 
CAT E12 5 X 0 339 0 2.76005 0 0 0 
CAT E12 5 Y 0 343 0 2.76005 0 0 0 
CAT E12 6 ThreeD_rfa 0 311 122 11.5885 0 0 0 
CAT E12 6 X 0 408 102.455 11.5885 0.0790473 0.00307653 0.358008 
CAT E12 6 Y 0 372 110.932 11.5885 0.053823 0.0124293 4.27805 
CAT E12 7 ThreeD_rfa 0 365 127 17.6976 0 0 0 
CAT E12 7 X 0 327 0 17.6976 0 0 0 
